id_puesto,municipio,zona,num_puesto,nombre_puesto,votos_camilo,votos_sanchez,votos_nanclares,votos_carvalho_2022,votos_hoyos,votos_zuluaga,votos_creemos,votos_pacto,votos_cd_total,nombre_norm,PUESTO,DIRECCIÓN,lat,lon,COMUNA,tipo_match,pct_medellin_camilo,pct_zona_camilo,pct_medellin_carvalho,pct_zona_carvalho,pct_medellin_sanchez,pct_zona_sanchez,pct_medellin_nanclares,pct_zona_nanclares,pct_medellin_hoyos,pct_zona_hoyos,pct_medellin_creemos,pct_zona_creemos,pct_medellin_pacto,pct_zona_pacto,pct_medellin_cd,pct_zona_cd
12_6,MEDELLIN,12,6.0,I.E. JORGE ELIECER GAITAN,5,2,1,15,6,7,254,385,446,I.E. JORGE ELIECER GAITAN,I.E.JORGE ELIECER GAITAN(PPAL),CALLE 92 # 83-41,6.2899142,-75.5852278,06COMUNA 6 DOCE DE OCTUBRE,fuzzy,0.0759,6.4935,0.0626,4.8387,0.0703,6.25,0.0325,1.9231,0.0386,4.2254,0.1532,5.1117,0.2274,6.5992,0.1493,6.1799
12_7,MEDELLIN,12,7.0,SEC. ESC. EL PEDREGAL,11,7,4,24,4,17,335,644,427,SEC. ESC. EL PEDREGAL,SEC. ESC. PEDREGAL,CLL 104E No 74-109,6.3034096,-75.5730437,06COMUNA 6 DOCE DE OCTUBRE,fuzzy,0.1669,14.2857,0.1001,7.7419,0.2461,21.875,0.13,7.6923,0.0257,2.8169,0.2021,6.7418,0.3803,11.0387,0.1429,5.9166
12_8,MEDELLIN,12,8.0,I.E.LA ESPERANZA,7,1,2,20,8,32,284,476,387,I.E.LA ESPERANZA,I.E.LA ESPERANZA,CRA 73B No 96-09,6.2931056,-75.5772736,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1062,9.0909,0.0835,6.4516,0.0352,3.125,0.065,3.8462,0.0515,5.6338,0.1713,5.7154,0.2811,8.1591,0.1295,5.3623
12_9,MEDELLIN,12,9.0,SENA PEDREGAL,0,0,0,0,0,2,6,22,14,SENA PEDREGAL,,,6.302009,-75.56857,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.1207,0.013,0.3771,0.0047,0.194
13_1,MEDELLIN,13,1.0,I.E. SAN VICENTE DE PAUL,34,14,15,175,46,65,1162,890,1707,I.E. SAN VICENTE DE PAUL,I.E. SAN VICENTE DE PAUL,KR 71A # 79D-01,6.278927,-75.5790277,07COMUNA 7 ROBLEDO,exacto,0.5159,22.973,0.7302,30.541,0.4923,14.8936,0.4873,23.0769,0.2959,23.5897,0.7009,19.0056,0.5256,12.3081,0.5714,20.1535
13_2,MEDELLIN,13,2.0,SEC.ESC. EL DIAMANTE,15,14,14,52,16,67,969,795,1374,SEC.ESC. EL DIAMANTE,SEC.ESC. EL DIAMANTE,CL 79A # 86-09,6.2853308,-75.5871781,07COMUNA 7 ROBLEDO,exacto,0.2276,10.1351,0.217,9.075,0.4923,14.8936,0.4548,21.5385,0.1029,8.2051,0.5845,15.8489,0.4695,10.9943,0.4599,16.222
13_3,MEDELLIN,13,3.0,I.E.EL DIAMANTE (SEDE BTO),23,18,6,84,19,42,726,996,843,I.E.EL DIAMANTE (SEDE BTO),I.E.EL DIAMANTE (SEDE BTO),CARRERA 87 No. 79-05,6.2860819,-75.5881659,07COMUNA 7 ROBLEDO,exacto,0.349,15.5405,0.3505,14.6597,0.6329,19.1489,0.1949,9.2308,0.1222,9.7436,0.4379,11.8744,0.5882,13.774,0.2822,9.9528
13_4,MEDELLIN,13,4.0,I.E. VILLA DE LA CANDELARIA,6,11,12,66,37,52,910,1039,1354,I.E. VILLA DE LA CANDELARIA,,,6.284927,-75.593699,,,0.091,4.0541,0.2754,11.5183,0.3868,11.7021,0.3899,18.4615,0.238,18.9744,0.5489,14.8839,0.6136,14.3687,0.4532,15.9858
13_5,MEDELLIN,13,5.0,I.E.FE Y ALEGRIA SAN JOSE,5,2,0,12,15,16,432,794,512,I.E.FE Y ALEGRIA SAN JOSE,I.E.FE Y ALEGRIA SAN JOSE,CALLE 86 # 92-60,6.2912166,-75.5900082,07COMUNA 7 ROBLEDO,exacto,0.0759,3.3784,0.0501,2.0942,0.0703,2.1277,0.0,0.0,0.0965,7.6923,0.2606,7.0658,0.4689,10.9805,0.1714,6.0449
13_6,MEDELLIN,13,6.0,TECNOLOGICO DE ANTIOQUIA,56,31,14,148,41,59,1110,1316,1607,TECNOLOGICO DE ANTIOQUIA,TECNOLOGICO DE ANTIOQUIA,CALLE 78B # 72A-220,6.2796063,-75.5834527,07COMUNA 7 ROBLEDO,exacto,0.8498,37.8378,0.6175,25.829,1.09,32.9787,0.4548,21.5385,0.2637,21.0256,0.6695,18.1551,0.7771,18.1994,0.5379,18.9728
